"","Fresh","Milk","Grocery","Frozen","Detergents_Paper","Delicassen","Grupo"
"1",12669,9656,7561,214,2674,1338,2
"2",7057,9810,9568,1762,3293,1776,2
"3",6353,8808,7684,2405,3516,7844,2
"4",13265,1196,4221,6404,507,1788,2
"5",22615,5410,7198,3915,1777,5185,1
"6",9413,8259,5126,666,1795,1451,2
"7",12126,3199,6975,480,3140,545,2
"8",7579,4956,9426,1669,3321,2566,2
"9",5963,3648,6192,425,1716,750,2
"10",6006,11093,18881,1159,7425,2098,2
"11",3366,5403,12974,4400,5977,1744,2
"12",13146,1124,4523,1420,549,497,2
"13",31714,12319,11757,287,3881,2931,1
"14",21217,6208,14982,3095,6707,602,2
"15",24653,9465,12091,294,5058,2168,1
"16",10253,1114,3821,397,964,412,2
"17",1020,8816,12121,134,4508,1080,2
"18",5876,6157,2933,839,370,4478,2
"19",18601,6327,10099,2205,2767,3181,2
"20",7780,2495,9464,669,2518,501,2
"21",17546,4519,4602,1066,2259,2124,2
"22",5567,871,2010,3383,375,569,2
"23",31276,1917,4469,9408,2381,4334,1
"24",26373,36423,22019,5154,4337,16523,1
"25",22647,9776,13792,2915,4482,5778,1
"26",16165,4230,7595,201,4003,57,2
"27",9898,961,2861,3151,242,833,2
"28",14276,803,3045,485,100,518,2
"29",4113,20484,25957,1158,8604,5206,2
"30",43088,2100,2609,1200,1107,823,1
"31",18815,3610,11107,1148,2134,2963,2
"32",2612,4339,3133,2088,820,985,2
"33",21632,1318,2886,266,918,405,2
"34",29729,4786,7326,6130,361,1083,1
"35",1502,1979,2262,425,483,395,2
"36",688,5491,11091,833,4239,436,2
"37",29955,4362,5428,1729,862,4626,1
"38",15168,10556,12477,1920,6506,714,2
"39",4591,15729,16709,33,6956,433,2
"40",56159,555,902,10002,212,2916,1
"41",24025,4332,4757,9510,1145,5864,1
"42",19176,3065,5956,2033,2575,2802,2
"43",10850,7555,14961,188,6899,46,2
"44",630,11095,23998,787,9529,72,2
"45",9670,7027,10471,541,4618,65,2
"46",5181,22044,21531,1740,7353,4985,2
"47",3103,14069,21955,1668,6792,1452,2
"48",44466,54259,55571,7782,24171,6465,1
"49",11519,6152,10868,584,5121,1476,2
"50",4967,21412,28921,1798,13583,1163,2
"51",6269,1095,1980,3860,609,2162,2
"52",3347,4051,6996,239,1538,301,2
"53",40721,3916,5876,532,2587,1278,1
"54",491,10473,11532,744,5611,224,2
"55",27329,1449,1947,2436,204,1333,1
"56",5264,3683,5005,1057,2024,1130,2
"57",4098,29892,26866,2616,17740,1340,2
"58",5417,9933,10487,38,7572,1282,2
"59",13779,1970,1648,596,227,436,2
"60",6137,5360,8040,129,3084,1603,2
"61",8590,3045,7854,96,4095,225,2
"62",35942,38369,59598,3254,26701,2017,1
"63",7823,6245,6544,4154,4074,964,2
"64",9396,11601,15775,2896,7677,1295,2
"65",4760,1227,3250,3724,1247,1145,2
"66",85,20959,45828,36,24231,1423,2
"67",9,1534,7417,175,3468,27,2
"68",19913,6759,13462,1256,5141,834,2
"69",2446,7260,3993,5870,788,3095,2
"70",8352,2820,1293,779,656,144,2
"71",16705,2037,3202,10643,116,1365,2
"72",18291,1266,21042,5373,4173,14472,2
"73",4420,5139,2661,8872,1321,181,2
"74",19899,5332,8713,8132,764,648,2
"75",8190,6343,9794,1285,1901,1780,2
"76",20398,1137,3,4407,3,975,2
"77",717,3587,6532,7530,529,894,2
"78",12205,12697,28540,869,12034,1009,2
"79",10766,1175,2067,2096,301,167,2
"80",1640,3259,3655,868,1202,1653,2
"81",7005,829,3009,430,610,529,2
